# Name | Kategorie | Kurztext | Erklärung (Absätze mit \n\n)
/connect|Modelle und Anbieter|Fügt einen Anbieter samt Schlüssel hinzu.|Mit /connect öffnest du die Auswahl der verfügbaren Anbieter und hinterlegst deren Zugangsschlüssel. OpenCode ist nicht an einen Hersteller gebunden: Anthropic, OpenAI, Google und viele weitere lassen sich nebeneinander einrichten.\n\nErst nach dem Verbinden eines Anbieters stehen dessen Modelle unter /models zur Auswahl. Die Schlüssel werden lokal abgelegt und gehören nicht in das Projektarchiv.
/compact|Kontext|Fasst die laufende Sitzung zusammen, um Platz zu schaffen.|Ein langes Gespräch füllt irgendwann das Kontextfenster des Modells. /compact fasst den bisherigen Verlauf zusammen und arbeitet danach mit der kürzeren Fassung weiter.\n\nDas ist die Notbremse gegen ein volles Kontextfenster, kostet aber Genauigkeit: Was in der Zusammenfassung nicht auftaucht, ist für das Modell weg. Für ein wirklich neues Thema ist /new die sauberere Wahl. /summarize ist eine zweite Schreibweise desselben Befehls.
/details|Darstellung|Schaltet die Einzelheiten der Werkzeugaufrufe ein und aus.|OpenCode ruft beim Arbeiten Werkzeuge auf: Dateien lesen, Dateien schreiben, Befehle ausführen. /details bestimmt, ob du dabei nur das Ergebnis siehst oder auch den vollständigen Aufruf mit seinen Eingaben.\n\nDie ausführliche Anzeige ist hilfreich, solange du dem Vorgehen noch nicht traust oder einen Fehler suchst. Für das gewohnte Arbeiten ist die knappe Anzeige ruhiger.
/editor|Eingabe|Öffnet deinen Texteditor zum Verfassen einer Nachricht.|Für eine lange oder mehrzeilige Nachricht ist die Eingabezeile im Terminal unhandlich. /editor öffnet stattdessen den Editor aus deiner Umgebungsvariablen EDITOR; beim Speichern und Schliessen landet der Text als Nachricht in OpenCode.\n\nBei grafischen Editoren muss die Wartekennung mitgegeben werden, sonst kehrt der Befehl sofort zurück und der Text ist leer — etwa EDITOR="code --wait". Das Tastenkürzel ist Strg+X, danach E.
/exit|Sitzung|Beendet OpenCode.|/exit schliesst das Programm. Die Sitzung selbst bleibt gespeichert und lässt sich beim nächsten Start über /sessions wieder öffnen.\n\n/quit und /q sind zweite Schreibweisen desselben Befehls. Das Tastenkürzel ist Strg+X, danach Q.
/export|Sitzung|Schreibt das Gespräch als Markdown und öffnet es im Editor.|/export erzeugt aus dem laufenden Gespräch ein Markdown-Dokument und öffnet es in dem Editor, der in deiner Umgebungsvariablen EDITOR steht. So lässt sich ein Ergebnis weitergeben oder in die Projektunterlagen übernehmen.\n\nWie bei /editor braucht ein grafischer Editor die Wartekennung. Das Tastenkürzel ist Strg+X, danach X.
/help|Orientierung|Zeigt die Hilfe.|/help öffnet das Hilfefenster mit den gerade verfügbaren Befehlen und Tastenkürzeln. Das ist die verlässlichste Quelle für die Version, die bei dir tatsächlich läuft.\n\nDie Liste hängt von der Fassung und von deiner Konfiguration ab: Eigene Befehle aus dem Ordner commands/ stehen dort ebenfalls. Diese App zeigt die eingebauten Befehle, nicht deine selbst geschriebenen.
/init|Projektregeln|Führt durch das Anlegen oder Ergänzen von AGENTS.md.|AGENTS.md ist die Datei, in der die dauerhaft geltenden Regeln eines Projekts stehen: wo die wichtigen Dateien liegen, wie gebaut wird, was zu beachten ist. /init führt dich durch das Anlegen oder Fortschreiben dieser Datei.\n\nÜberarbeite den Entwurf danach von Hand — er kennt nur, was sich aus dem Projekt ablesen lässt. Zugangsdaten gehören nicht hinein, denn die Datei liegt im Projektarchiv.
/models|Modelle und Anbieter|Zeigt die verfügbaren Modelle zur Auswahl.|/models listet die Modelle aller verbundenen Anbieter auf und lässt dich eines davon für die laufende Sitzung wählen. Da OpenCode anbieterunabhängig ist, stehen hier Modelle verschiedener Hersteller nebeneinander.\n\nEin dauerhafter Standard gehört dagegen in die Konfiguration, unter model beziehungsweise small_model. Das Tastenkürzel ist Strg+X, danach M.
/new|Sitzung|Beginnt eine neue Sitzung.|/new legt ein leeres Gespräch an. Das bisherige bleibt erhalten und ist über /sessions wieder erreichbar.\n\nFür ein unabhängiges Thema ist das die bessere Wahl als /compact: Ein neues Gespräch startet ohne Altlasten, während eine Zusammenfassung immer Reste des alten Themas mitschleppt. /clear ist eine zweite Schreibweise desselben Befehls, das Tastenkürzel ist Strg+X, danach N.
/redo|Rückgängig|Stellt eine zurückgenommene Nachricht wieder her.|/redo macht ein vorangegangenes /undo rückgängig — die Nachricht und die zugehörigen Dateiänderungen kommen zurück. Der Befehl steht nur zur Verfügung, nachdem etwas zurückgenommen wurde.\n\nDie Dateiänderungen werden intern über Git verwaltet. Das Projekt muss deshalb ein Git-Archiv sein, sonst kann der Befehl die Dateien nicht wiederherstellen. Das Tastenkürzel ist Strg+X, danach R.
/sessions|Sitzung|Listet die gespeicherten Sitzungen und wechselt dorthin.|/sessions zeigt die bisherigen Gespräche und öffnet das gewählte wieder. So findest du eine Arbeit von gestern zurück, ohne den Verlauf zu verlieren.\n\n/resume und /continue sind zweite Schreibweisen desselben Befehls. Das Tastenkürzel ist Strg+X, danach L.
/share|Teilen|Teilt die laufende Sitzung.|/share erzeugt eine Adresse, unter der das Gespräch abrufbar ist. Das ist für die Übergabe an Kolleginnen und Kollegen gedacht oder um ein Ergebnis zu belegen.\n\nBedenke dabei, was im Verlauf steht: Dateiinhalte, Pfade und Befehlsausgaben werden mitgeteilt. Mit /unshare nimmst du die Freigabe wieder zurück.
/themes|Darstellung|Zeigt die verfügbaren Farbschemata.|/themes listet die eingebauten Farbschemata der Oberfläche auf und schaltet auf das gewählte um. Das betrifft nur die Anzeige im Terminal, nicht die Arbeit selbst.\n\nEin dauerhafter Standard und eigene Schemata gehören in die Konfiguration. Das Tastenkürzel ist Strg+X, danach T.
/thinking|Darstellung|Blendet die Denkschritte des Modells ein und aus.|Manche Modelle geben ihre Überlegungen als eigenen Block aus, bevor sie antworten. /thinking bestimmt, ob dieser Block angezeigt wird.\n\nWichtig: Der Befehl steuert ausschliesslich die Anzeige. Ob ein Modell überhaupt ausführlich nachdenkt, wird damit nicht ein- oder ausgeschaltet — dafür schaltet Strg+T zwischen den Varianten eines Modells um.
/undo|Rückgängig|Nimmt die letzte Nachricht samt Dateiänderungen zurück.|/undo entfernt die jüngste eigene Nachricht, alle darauf folgenden Antworten und die dabei entstandenen Dateiänderungen. Das ist mehr als ein Löschen im Gesprächsfenster: Die Dateien im Projekt gehen ebenfalls auf den vorherigen Stand zurück.\n\nDie Dateiänderungen werden intern über Git verwaltet. Das Projekt muss deshalb ein Git-Archiv sein. Mit /redo lässt sich der Schritt wieder zurücknehmen; das Tastenkürzel ist Strg+X, danach U.
/unshare|Teilen|Hebt die Freigabe der Sitzung wieder auf.|/unshare nimmt eine mit /share erteilte Freigabe zurück, sodass die Adresse das Gespräch nicht mehr zeigt.\n\nWas in der Zwischenzeit gelesen oder kopiert wurde, lässt sich damit nicht zurückholen. Bei einem versehentlich geteilten Gespräch mit Zugangsdaten gehören die Zugangsdaten gewechselt, nicht nur die Freigabe entfernt.
