# Name | Kategorie | Kurztext | Erklärung (Absätze mit \n\n)
/permissions|Berechtigungen|Legt fest, welche Aktionen Codex selbstständig ausführen darf.|Mit /permissions öffnest du die Auswahl der Berechtigungen für die laufende Sitzung. Dort bestimmst du beispielsweise, ob Codex nur lesen oder auch Änderungen ausführen darf. Eigene benannte Berechtigungsprofile können ebenfalls in der Auswahl stehen.\n\nDas ist praktisch, wenn du erst einen Überblick möchtest und danach die Umsetzung erlaubst. Die neue Auswahl gilt für folgende Aktionen. Vorgaben deiner Organisation können die verfügbaren Möglichkeiten begrenzen.
/ide|Arbeitsumgebung|Übernimmt den verfügbaren Kontext aus deinem Editor.|Mit /ide bringst du offene Dateien und die aktuelle Auswahl aus einer verbundenen Entwicklungsumgebung in deine nächste Anfrage ein. Du musst den Inhalt dadurch nicht noch einmal kopieren.\n\nDu kannst ergänzenden Text anhängen, etwa was Codex an der ausgewählten Stelle erklären soll. Der Befehl kann nur den Editor-Kontext verwenden, der tatsächlich verfügbar ist.
/keymap|Darstellung und Bedienung|Ändert die Tastenkürzel der Terminaloberfläche.|Mit /keymap öffnest du die Tastaturbelegung. Wähle zuerst den Bereich und die Aktion, danach das gewünschte Kürzel. So kannst du die Bedienung an deine Gewohnheiten anpassen.\n\nDie Änderungen werden unter tui.keymap in config.toml gespeichert. Bereichsspezifische Kürzel haben Vorrang vor allgemeinen Belegungen. Eine leere Belegung entfernt das Kürzel für die betreffende Aktion.
/vim|Darstellung und Bedienung|Schaltet die Vim-Bedienung für das Eingabefeld um.|Vim unterscheidet zwischen dem Schreiben von Text und dem Navigieren mit Tasten. Mit /vim schaltest du diese Bedienung im Eingabefeld der aktuellen Sitzung ein oder aus.\n\nWenn du Vim nicht kennst, kannst du bei der gewöhnlichen Texteingabe bleiben. Für einen dauerhaften Standard gibt es tui.vim_mode_default = true in config.toml. Der Befehl selbst betrifft die laufende Sitzung.
/setup-default-sandbox|Berechtigungen|Richtet die erweiterte Windows-Sandbox ein.|Eine Sandbox begrenzt, auf welche Bereiche des Computers ein Programm zugreifen darf. Dieser Befehl startet die Einrichtung der erweiterten Windows-Sandbox, wenn Codex bisher die eingeschränkte Ersatzlösung verwendet.\n\nDer Befehl erscheint nur unter diesen Bedingungen auf Windows. Folge dem Einrichtungsdialog mit Administratorrechten. Dass er unter macOS oder Linux fehlt, ist deshalb kein Fehler.
/sandbox-add-read-dir|Berechtigungen|Erlaubt der Windows-Sandbox das Lesen eines weiteren Ordners.|Wenn ein benötigter Ordner außerhalb der lesbaren Bereiche liegt, kannst du ihn mit /sandbox-add-read-dir freigeben. Dahinter steht der vollständige Pfad zu einem vorhandenen Ordner, zum Beispiel C:\\Projekte\\Bibliothek.\n\nDie Freigabe erlaubt Lesen, nicht automatisch Schreiben. Der Befehl ist für die nativ unter Windows laufende Codex CLI dokumentiert. Spätere Befehle in der Sandbox können dann auf den Ordner zugreifen.
/agent|Zusammenarbeit|Wechselt zu einem anderen Agenten-Gespräch.|Bei einer Aufgabe können mehrere Agenten eigene Teilaufgaben bearbeiten. Mit /agent öffnest du eine Auswahl der vorhandenen Agenten-Gespräche und wechselst zu einem davon.\n\nSo kannst du dessen Ergebnisse ansehen oder dort weiterarbeiten. Der Befehl erstellt selbst keinen neuen Agenten. /subagents ist eine zweite Schreibweise für dieselbe Auswahl.
/apps|Erweiterungen|Wählt eine verbundene App für deine Anfrage aus.|Mit /apps öffnest du die Auswahl verfügbarer Apps und Verbindungen. Nach der Auswahl setzt Codex einen Verweis wie $app-slug in das Eingabefeld.\n\nSchreibe dahinter, was Codex mit dieser App erledigen soll. Die Auswahl allein führt die Aufgabe noch nicht aus. Welche Apps nutzbar sind, hängt von deinen Verbindungen und Freigaben ab.
/plugins|Erweiterungen|Öffnet die Übersicht installierter und verfügbarer Plugins.|Plugins können Codex zusätzliche Werkzeuge und Fähigkeiten geben. Mit /plugins öffnest du die Übersicht und kannst ein Plugin sowie die dafür angebotenen Aktionen auswählen.\n\nBei installierten Plugins schaltet die Leertaste den aktiven Zustand um. Die verfügbaren Marktplätze und Plugins hängen von deiner Konfiguration ab. Ein installiertes Plugin und eine angemeldete Verbindung sind unterschiedliche Dinge.
/hooks|Erweiterungen|Zeigt und verwaltet automatische Aktionen bei Ereignissen.|Hooks sind Aktionen, die bei bestimmten Ereignissen ausgeführt werden. Mit /hooks kannst du nachsehen, welche eingerichtet sind, und einzelne Ereignisse samt zugehörigen Aktionen öffnen.\n\nEigene Hooks kannst du je nach Zustand freigeben, deaktivieren oder wieder aktivieren. Zentral verwaltete Hooks sind als solche markiert und lassen sich über diese Benutzeransicht nicht abschalten.
